,date,temp,feels_like,pressure,humidity,temp_min,temp_max,speed,deg,gust,clouds,id,main,description,icon
0,2022-08-07 04:00:00,80.07800000000003,84.95599999999996,1021,84,76.58600000000007,82.41800000000006,1.79,223,4.47,100,804,Clouds,overcast clouds,04n
1,2022-08-07 05:00:00,79.52000000000004,79.52000000000004,1021,86,76.58600000000007,81.69800000000004,2.68,196,4.47,100,804,Clouds,overcast clouds,04n
2,2022-08-07 06:00:00,79.10599999999994,79.10599999999994,1020,87,76.37000000000006,81.15799999999996,4.12,210,4.990377246398336,40,802,Clouds,scattered clouds,03n
3,2022-08-07 07:00:00,78.49400000000009,80.18599999999998,1021,88,75.45200000000006,80.618,3.6,200,4.990377246398336,75,803,Clouds,broken clouds,04n
4,2022-08-07 08:00:00,77.54000000000002,79.23200000000003,1020,90,74.57,79.68199999999996,2.24,165,4.47,100,804,Clouds,overcast clouds,04n
5,2022-08-07 09:00:00,77.08999999999997,78.72800000000001,1021,90,74.12000000000006,79.05200000000008,3.09,190,4.990377246398336,40,802,Clouds,scattered clouds,03n
6,2022-08-07 10:00:00,76.28000000000003,77.97200000000004,1020,93,73.11200000000002,78.15199999999999,2.24,228,4.92,100,804,Clouds,overcast clouds,04n
7,2022-08-07 11:00:00,76.69400000000002,78.44,1020,93,73.59800000000001,78.90799999999996,0.89,151,4.92,100,804,Clouds,overcast clouds,04d
8,2022-08-07 12:00:00,78.78199999999998,78.78199999999998,1022,89,75.77600000000001,81.05000000000001,5.66,220,4.990377246398336,40,802,Clouds,scattered clouds,03d
9,2022-08-07 13:00:00,81.94999999999999,89.16800000000006,1021,82,78.584,84.21800000000002,4.12,230,4.990377246398336,75,803,Clouds,broken clouds,04d
10,2022-08-07 14:00:00,84.72200000000004,94.35200000000005,1020,76,81.51800000000009,87.584,5.14,240,4.990377246398336,40,802,Clouds,scattered clouds,03d
11,2022-08-07 15:00:00,87.17000000000002,97.52000000000004,1022,69,83.31800000000004,90.30200000000008,7.72,230,4.990377246398336,40,802,Clouds,scattered clouds,03d
